AirportName,Number of Departures,Number of Connections,Year,Lat Airport,Lng Airport,Provinces
PEAWANUCK,102,1,2010,54.98932600000001,-85.43906609999999,ON
THUNDER BAY,10736,29,2016,48.37426019999999,-89.3194986,ON
ISLAND LAKE/GARDEN HILL,126,2,2015,41.9741625,-87.9073214,ON
FORT HOPE,2450,7,2003,51.561711,-87.906953,ON
THUNDER BAY,11358,20,2010,48.37426019999999,-89.3194986,ON
FORT SEVERN,336,2,2016,56.0186303,-87.67922539999999,ON
MUSKRAT DAM,552,4,2017,53.44177089999999,-91.761989,ON
FORT SEVERN,313,2,2012,56.0186303,-87.67922539999999,ON
HAMILTON,5658,27,2005,43.1685644,-79.9288234,ON
WINDSOR,2645,3,2003,42.2715029,-82.9582822,ON
DRYDEN,1870,4,2010,49.8317438,-92.7445381,ON
PIKANGIKUM,685,7,2007,51.820011,-93.974114,ON
FORT SEVERN,314,2,2008,56.0186303,-87.67922539999999,ON
HAMILTON,7289,26,2004,43.1685644,-79.9288234,ON
TIMMINS,4318,4,2005,48.566513,-81.37204299999999,ON
FORT FRANCES,1114,3,2017,48.654167,-93.439722,ON
TORONTO ISLAND,65579,138,2016,43.6284819,-79.3959577,ON
THUNDER BAY,11861,19,2007,48.37426019999999,-89.3194986,ON
FORT ALBANY,681,2,2017,52.2052291,-81.6882971,ON
ROUYN,1678,6,2012,48.2119059,-78.8292605,ON
TIMMINS,4752,6,2004,48.566513,-81.37204299999999,ON
HOLMAN,258,2,2003,44.9334686,-93.0601241,ON
SANIKILUAQ,306,2,2013,56.53598599999999,-79.2461486,ON
RED SUCKER LAKE,94,4,2015,54.1689608,-93.563234,ON
MOOSONEE,1014,3,2013,51.2897031,-80.6127405,ON
EASTMAIN,624,2,2004,52.23078460000001,-78.5195816,ON
HAMILTON,6510,30,2007,43.1685644,-79.9288234,ON
NAKINA,1096,2,2003,50.1830527,-86.69728219999999,ON
BIG TROUT LAKE,938,6,2017,53.818763,-89.83509289999999,ON
SANIKILUAQ,236,3,2004,56.53598599999999,-79.2461486,ON
WASKAGANISH,894,4,2018,51.4756741,-78.751764,ON
HOLMAN,271,2,2007,44.9334686,-93.0601241,ON
NORTH BAY,2040,4,2017,46.3572071,-79.4270197,ON
MUSKRAT DAM,104,1,2005,53.44177089999999,-91.761989,ON
FORT SEVERN,312,3,2014,56.0186303,-87.67922539999999,ON
REPULSE BAY,838,6,2004,43.67771760000001,-79.6248197,ON
KAPUSKASING,1052,1,2005,49.418308,-82.4701367,ON
KAPUSKASING,664,1,2003,49.418308,-82.4701367,ON
WEMINDJI,618,2,2010,53.01061259999999,-78.8309781,ON
PICKLE LAKE,1013,5,2003,51.44695249999999,-90.21150349999999,ON
NORTH BAY,2171,4,2005,46.3572071,-79.4270197,ON
ATTAWAPISKAT,571,3,2017,52.9265542,-82.4304748,ON
GILLAM,261,2,2003,56.357051,-94.705728,ON
NORTH BAY,2686,5,2003,46.3572071,-79.4270197,ON
SANIKILUAQ,209,4,2005,56.53598599999999,-79.2461486,ON
MUSKRAT DAM,966,4,2013,53.44177089999999,-91.761989,ON
MOOSONEE,1364,3,2003,51.2897031,-80.6127405,ON
SACHIGO LAKE,411,7,2004,53.0641646,-93.3444368,ON
GODS NARROWS,155,4,2009,54.5534811,-94.4816864,ON
WEMINDJI,720,2,2012,53.01061259999999,-78.8309781,ON
SANIKILUAQ,209,2,2003,56.53598599999999,-79.2461486,ON
PICKLE LAKE,480,7,2007,51.44695249999999,-90.21150349999999,ON
