,index,Unnamed: 0,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport,Distance
330,332,332,44.5362884,-78.3533936,Buckhorn Lake (Canada),ON,1983-11-14T18:30:00.000Z,1983,11,Pencil Lake Waterdrome,44.80638,-78.35121699999998,30.01452119895109
331,333,333,44.9485495,-75.97047859999998,Rosedale (Canada),ON,1969-09-03T20:00:00.000Z,1969,9,Rideau Valley Air Park,45.103281,-75.627371,32.045127588335795
332,334,334,45.3445759,-75.7630108,Nepean (Canada),ON,1987-11-09T19:50:00.000Z,1987,11,Cascades Water Aerodrome,45.585833,-75.86805600000001,28.043785352493817
333,335,335,43.3824265,-80.97089628393009,Bedford (Canada),ON,1960-07-17T22:00:00.000Z,1960,7,Woodstock Airport,43.11107820000001,-80.82423829999998,32.41376544498359
334,336,336,43.7072895,-80.3744335,Fergus (Canada),ON,1990-10-05T22:00:00.000Z,1990,10,Burbank Field,44.027743,-80.20532399999998,38.11218810719914
335,337,337,42.6087264,-82.51813502142541,Walpole Island (Canada),ON,2016-01-03T21:00:00.000Z,2016,1,Stoney Point (Le Cunff) Airport,42.295556,-82.535,34.81526920674935
336,338,338,44.4082794,-76.6021692,Sydenham (Canada),ON,2013-08-06T22:40:00.000Z,2013,8,Tyendinaga Mohawk Airfield,44.183391,-77.10293899999998,47.134112448217614
337,339,339,43.7072895,-80.3744335,Fergus/Guelph (Canada),ON,2006-12-16T06:30:00.000Z,2006,12,Burbank Field,44.027743,-80.20532399999998,38.11218810719914
338,340,340,42.988097,-81.24602940000003,London (Canada),ON,2013-07-10T22:00:00.000Z,2013,7,Chapeskie Field,43.068333,-81.125556,13.261478715263097
339,341,341,45.2731133,-75.7517284,Ottawa (Canada),ON,2015-09-21T19:30:00.000Z,2015,9,Rideau Valley Air Park,45.103281,-75.627371,21.25451767674297
340,342,342,42.1726177,-82.8225981,Essex (Canada),ON,2010-08-15T11:00:00.000Z,2010,8,Cottam Airport,42.139764,-82.65274000000001,14.504961840500188
341,343,343,43.9189239,-79.1062298,Toronto/Pickering (Canada),ON,2009-08-14T06:05:00.000Z,2009,8,Baldwin Airfield,44.267272,-79.34070299999998,43.02029705467191
342,344,344,42.3970242,-82.1796228,Chatham (Canada),ON,2004-12-14T17:00:00.000Z,2004,12,Stoney Point (Le Cunff) Airport,42.295556,-82.535,31.377303868762276
343,345,345,42.9658012,-81.59169759999997,Strathroy (east of) (Canada),ON,2000-05-14T11:25:00.000Z,2000,5,Melbourne Airport,42.82444599999999,-81.548813,16.089173668439066
344,346,346,44.1504618,-77.1452343,Prince Edward County (Canada),ON,2013-11-12T01:15:00.000Z,2013,11,Belleville Airport,44.19195999999999,-77.309648,13.934086583196477
345,347,347,42.7869606,-80.20019520000002,Port Dover (Canada),ON,2013-08-17T21:24:00.000Z,2013,8,Grand River Waterdrome,43.086110999999995,-80.05166700000001,35.3753717241999
346,348,348,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2016-06-17T22:40:00.000Z,2016,6,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
347,349,349,44.1948917,-77.0496199,Deseronto (Canada),ON,1990-01-15T22:00:00.000Z,1990,1,Belleville Airport,44.19195999999999,-77.309648,20.79053249298215
348,350,350,42.3970242,-82.1796228,Chatham (Canada),ON,2005-11-03T22:30:00.000Z,2005,11,Stoney Point (Le Cunff) Airport,42.295556,-82.535,31.377303868762276
349,351,351,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2015-10-06T20:20:00.000Z,2015,10,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
350,352,352,43.7935251,-79.3161605,Aurora (Canada),ON,2010-11-14T19:34:00.000Z,2010,11,Tottenham/Volk Airport,43.993352,-79.781904,43.513035421469674
351,353,353,43.5534982,-80.25166329999998,Havelock (Canada),ON,2014-10-12T21:30:00.000Z,2014,10,Elmira (East) Airport,43.593756299999995,-80.51510440000001,21.745306766769318
352,354,354,44.8413939,-79.44739820000002,Lion's Head (Canada),ON,2005-06-23T23:00:00.000Z,2005,6,Matchedash Lake Waterdrome,44.788925,-79.500198,7.172219127210718
353,355,355,44.383296,-77.9712779160078,Norwood (Canada),ON,2012-09-22T00:40:00.000Z,2012,9,Stirling Airport,44.2414388,-77.5617281,36.2789312262069
354,356,356,44.98567360000001,-78.0683614,North Bay (Canada),ON,2001-01-05T16:20:00.000Z,2001,1,Pencil Lake Waterdrome,44.80638,-78.35121699999998,29.936397891664402
355,357,357,42.1726177,-82.8225981,Essex (Canada),ON,2010-08-12T09:00:00.000Z,2010,8,Cottam Airport,42.139764,-82.65274000000001,14.504961840500188
356,358,358,44.5235232,-80.0185295,Willow Beach (Canada),ON,2012-08-19T21:05:00.000Z,2012,8,Wyevale (Boker Field) Airport,44.6575774,-79.8816392,18.440845700820944
