,AirportName,Number of Departures,Number of Connections,Year
741,WILLIAMS LAKE,2213,3,2013
742,COMOX,5240,7,2013
743,HIGH LEVEL,546,2,2013
744,KAMLOOPS,3683,7,2013
745,SARNIA,1210,1,2013
746,MONT JOLI,2566,8,2014
747,FORT SIMPSON,775,3,2003
748,CRANBROOK,3015,5,2013
749,EASTMAIN,676,2,2011
750,LETHBRIDGE,2081,1,2013
751,KINGSTON,2428,2,2013
752,RESOLUTE,357,3,2013
753,GJOA HAVEN,829,7,2013
754,IGLOOLIK,931,9,2013
755,RED LAKE,2023,4,2006
756,ABBOTSFORD,2580,7,2016
757,FORT SIMPSON,623,2,2013
758,FORT GOOD HOPE,835,5,2007
759,KASABONIKA,826,9,2007
760,COPPERMINE,1194,5,2013
761,KUGAARUK,513,8,2013
762,NEMISCAU,520,2,2016
763,VAL D'OR,2250,7,2013
764,NEMISCAU,517,2,2013
765,WEMINDJI,723,2,2013
766,DEER LAKE,1184,4,2003
767,FORT ALBANY,620,2,2013
768,MIRABEL,317,2,2013
769,COLD LAKE,117,2,2010
770,RED SUCKER LAKE,756,4,2017
771,BAGOTVILLE,1580,10,2016
772,PEACE RIVER,140,1,2008
773,REGINA,9823,56,2016
774,REPULSE BAY,589,6,2013
775,FORT SMITH,836,2,2005
776,POWELL RIVER,1435,1,2010
777,KELOWNA,12626,36,2015
778,MIRABEL,260,1,2011
779,RANKIN INLET,3867,18,2013
780,POWELL RIVER,1423,1,2007
781,KELOWNA,10157,15,2008
782,IQALUIT,4345,23,2013
783,POND INLET,783,6,2017
784,KUGAARUK,471,8,2014
785,ESKIMO POINT,952,5,2013
786,HAMILTON,5141,25,2008
787,INUKJUAK,993,3,2012
788,MONCTON,6478,18,2013
789,BATHURST,664,1,2017
790,KAPUSKASING,1021,3,2013
791,TIMMINS,5370,5,2013
792,RED LAKE,4005,9,2013
793,KELOWNA,17830,34,2018
794,FORT MCMURRAY,8475,13,2015
795,THE PAS,1540,4,2013
796,DRYDEN,1715,4,2013
797,FLIN FLON,1310,5,2013
798,PIERRE ELLIOTT TRUDEAU INTL,81937,187,2009
799,GANDER INTL,3401,13,2017
800,HAMILTON,2827,25,2015
801,SAULT STE-MARIE,5251,8,2013
802,FORT FRANCES,1112,2,2013
803,HAY RIVER,1493,4,2013
804,INUKJUAK,1086,3,2015
805,OLD CROW,9,1,2013
806,ST ANTHONY,1290,6,2010
807,DAWSON CITY,18,2,2013
808,COMOX,5928,7,2007
809,TUKTOYAKTUK,939,1,2013
810,FORT FRANCES,1232,2,2006
811,ST JOHN,3912,5,2018
812,SACHS HARBOUR,157,2,2013
813,PORT MENIER,470,1,2013
814,CRANBROOK,2771,5,2010
815,MONT TREMBLANT,203,3,2015
816,PAULATUK,157,1,2013
817,INUVIK,3005,12,2013
818,SEPT ILES,7256,23,2013
819,WABUSH,5709,19,2013
820,SASKATOON,8207,18,2007
821,CHARLOTTETOWN,2552,11,2014
822,ISLAND LAKE/GARDEN HILL,1399,3,2017
823,KUUJJUAQ,2778,11,2013
824,SOUTH INDIAN LAKE,678,3,2003
825,OXFORD HOUSE,172,3,2015
826,CAPE DORSET,882,4,2013
827,INUKJUAK,1021,3,2013
828,KANGIRSUK,1035,3,2013
829,LYNN LAKE,300,2,2007
830,KUUJJUARAPIK,1226,7,2013
831,HAVRE ST-PIERRE,538,3,2014
832,ABBOTSFORD,2876,3,2007
833,LA GRANDE,737,3,2013
834,WEMINDJI,722,2,2014
835,AKULIVIK,724,2,2013
836,HAY RIVER,923,4,2005
837,SANDY LAKE,1473,8,2009
838,KANGIQSUALUJJUAQ,667,2,2017
839,VICTORIA,15155,22,2013
840,COMOX,6120,9,2015
841,WHITEHORSE,1905,8,2013
842,NAIN,890,3,2018
843,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,28284,77,2013
844,GANDER INTL,843,5,2013
845,PRINCE GEORGE,5390,12,2014
846,JEAN LESAGE INTL,20359,59,2013
847,OXFORD HOUSE,327,3,2005
848,SASKATOON,11495,49,2015
849,CLYDE RIVER,556,3,2007
850,OTTAWA INTL,42150,102,2013
851,HAVRE ST-PIERRE,170,1,2015
852,FORT MCMURRAY,7376,14,2013
853,DEER LAKE,4110,7,2013
854,CALGARY INTL,83283,142,2013
855,"ROUND LAKE, OT",784,3,2012
856,SACHIGO LAKE,574,2,2012
857,DEER LAKE,523,2,2012
858,TERRACE,1992,4,2003
859,NORTH BAY,1924,3,2018
860,NATASHQUAN,944,9,2017
861,QUESNEL,853,2,2016
862,LLOYDMINSTER,504,1,2011
863,PICKLE LAKE,446,2,2012
864,GERALDTON,314,2,2012
865,HAVRE ST-PIERRE,756,3,2007
866,FORT HOPE,801,3,2012
867,CROSS LAKE,887,1,2007
868,MUSKRAT DAM,762,3,2012
869,ST JOHN,4040,7,2004
870,ABBOTSFORD,2406,3,2012
871,SHAMATTAWA,302,3,2009
872,SARNIA,1269,1,2012
873,PIKANGIKUM,1613,10,2017
874,MEDICINE HAT,1304,1,2012
875,RAINBOW LAKE,300,2,2013
876,BONAVENTURE,862,6,2012
877,FORT SIMPSON,621,3,2015
878,ST HUBERT,1917,5,2012
879,HAVRE ST-PIERRE,382,3,2012
880,MONT TREMBLANT,251,4,2012
881,FORT SMITH,1256,4,2012
882,BELLA BELLA,845,3,2012
883,POWELL RIVER,1473,1,2012
884,TIMMINS,4560,4,2006
885,BELLA COOLA,453,2,2012
886,FORT NORMAN,920,3,2012
887,FORT FRANKLIN,590,4,2012
888,IVUJIVIK,743,3,2006
889,FORT SEVERN,313,2,2010
890,DEASE LAKE,63,1,2012
891,GILLAM,614,2,2018
892,NATASHQUAN,1043,4,2012
893,SACHS HARBOUR,156,1,2011
894,MARY'S HARBOUR,249,2,2012
895,YELLOWKNIFE,9258,34,2018
896,SIOUX LOOKOUT,9752,49,2018
897,BROCHET,344,2,2016
898,PICKLE LAKE,412,7,2004
899,ILES DE LA MADELE,1820,4,2014
900,CHEVERY,1680,6,2012
901,PORT HARDY,1404,3,2012
902,HOPEDALE,955,5,2017
903,CORAL HARBOUR,817,6,2014
904,FORT ALBANY,616,2,2011
905,BATHURST,679,1,2012
906,PENTICTON,1039,1,2012
907,LONDON,5480,10,2012
908,SYDNEY,2151,5,2012
909,WINDSOR,3065,5,2012
910,LYNN LAKE,223,2,2004
911,FORT SMITH,1326,4,2014
912,KINGSTON,2263,2,2012
913,AKLAVIK,434,1,2007
914,ILES DE LA MADELE,1427,4,2012
915,GASPE,1464,2,2012
916,STEPHENVILLE,254,3,2015
917,FREDERICTON,3928,6,2012
918,CASTLEGAR,1290,2,2012
919,GODS NARROWS,1898,6,2007
920,BAIE COMEAU,898,6,2012
921,FORT NELSON,1101,4,2012
922,SMITHERS,1431,5,2012
923,GODS RIVER,889,6,2016
924,FORT ST JOHN,3008,4,2012
925,WILLIAMS LAKE,2214,3,2012
926,QUESNEL,905,2,2012
927,COMOX,5247,7,2012
928,HIGH LEVEL,552,2,2012
929,TUKTOYAKTUK,895,1,2006
930,LANDSDOWNE HOUSE,2338,6,2008
931,LLOYDMINSTER,632,1,2012
932,KAMLOOPS,3587,6,2012
933,DAWSON CREEK,666,3,2012
934,TALOYAK,621,8,2012
935,BATHURST,998,3,2015
936,HALL BEACH,738,7,2012
937,SANDY LAKE,1015,5,2013
938,SASKATOON,10430,31,2009
939,PEAWANUCK,104,1,2013
940,NEMISCAU,518,2,2015
941,GJOA HAVEN,878,7,2012
942,LAC BROCHET,678,4,2007
943,KAMLOOPS,4377,12,2016
944,CAPE DORSET,919,7,2015
945,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,32532,74,2005
946,FORT SIMPSON,630,3,2012
947,BAKER LAKE,1346,4,2013
948,DAWSON CREEK,619,3,2014
949,FORT GOOD HOPE,832,5,2006
950,KASABONIKA,208,2,2006
951,COPPERMINE,1243,6,2012
952,KUGAARUK,529,8,2012
953,HAY RIVER,1266,5,2017
954,VANCOUVER INTL,112362,185,2006
955,GOOSE BAY,3869,12,2012
956,FORT MCPHERSON,470,1,2014
957,NEMISCAU,516,2,2012
958,SUDBURY,5225,9,2015
959,BELLA COOLA,382,3,2010
960,FORT ALBANY,618,2,2012
961,ATTAWAPISKAT,412,2,2012
962,TUKTOYAKTUK,939,1,2014
963,MIRABEL,261,1,2012
964,WHALE COVE,853,5,2012
965,NANAIMO ARPT,2263,1,2010
966,REPULSE BAY,782,6,2012
967,RANKIN INLET,4589,18,2012
968,FORT CHIPEWYAN,359,2,2015
969,INUKJUAK,1087,3,2016
970,GILLAM,588,2,2012
971,ESKIMO POINT,1105,6,2012
972,QUAQTAQ,726,2,2014
973,CHESTERFIELD INLE,730,2,2018
974,THOMPSON,3808,18,2018
975,MONCTON,6445,18,2012
976,TADOULE LAKE,53,2,2009
977,LYNN LAKE,35,1,2012
978,SARNIA,1370,1,2016
979,GRISE FIORD,104,1,2010
980,SIOUX LOOKOUT,8096,22,2012
981,SUDBURY,8128,10,2012
982,THUNDER BAY,10581,18,2017
983,RED LAKE,3983,11,2012
984,THE PAS,1529,4,2012
985,GILLAM,313,1,2006
986,HAMILTON,2892,16,2012
987,KINGSTON,1547,2,2005
988,FORT FRANCES,1155,2,2012
989,POND INLET,427,4,2004
990,GJOA HAVEN,1132,8,2008
991,YELLOWKNIFE,8636,30,2012
992,QUESNEL,847,2,2017
993,ST HUBERT,1520,5,2016
994,IGLOOLIK,771,8,2016
995,COMOX,5242,7,2006
996,TUKTOYAKTUK,831,1,2012
997,WINDSOR,3721,10,2015
998,FORT MCPHERSON,511,1,2012
999,KUUJJUARAPIK,1295,7,2014
1000,SEPT ILES,6702,21,2012
1001,WABUSH,4240,17,2012
1002,GOOSE BAY,4381,13,2008
1003,GRANDE PRAIRIE,3604,4,2011
1004,KUUJJUAQ,2638,9,2012
1005,YORK LANDING,31,1,2009
1006,SANIKILUAQ,314,2,2012
1007,POVUNGNITUK,59181,126,2012
1008,KANGIRSUK,1046,3,2012
1009,BAKER LAKE,516,5,2003
1010,MASSET,350,1,2016
1011,IVUJIVIK,732,2,2012
1012,LYNN LAKE,173,5,2006
1013,KUUJJUARAPIK,1198,6,2012
1014,TUKTOYAKTUK,939,1,2018
1015,PEAWANUCK,105,1,2009
1016,CHARLOTTETOWN,3554,9,2012
1017,BATHURST,675,2,2003
1018,GANDER INTL,853,5,2012
1019,FORT MCMURRAY,6969,9,2012
1020,SASKATOON,11229,35,2017
1021,RAINBOW LAKE,247,2,2015
1022,HALIFAX,31863,88,2012
1023,DEER LAKE,4162,8,2012
1024,EASTMAIN,622,4,2003
1025,LESTER B. PEARSON,197914,411,2012
1026,CALGARY INTL,82563,141,2012
1027,FORT FRANCES,1114,3,2018
1028,WOLLASTON LAKE,1195,4,2004
1029,VANCOUVER INTL,106832,176,2012
1030,KITCHENER,2043,5,2012
1031,CAMBRIDGE BAY,1084,6,2014
1032,"ROUND LAKE, OT",781,3,2011
1033,VICTORIA,16220,24,2015
1034,WOLLASTON LAKE,97,5,2017
1035,SACHIGO LAKE,573,2,2011
1036,NATASHQUAN,780,5,2005
1037,DEER LAKE,521,2,2011
1038,BELLA BELLA,953,3,2013
1039,FORT HOPE,351,4,2018
1040,REPULSE BAY,656,6,2017
1041,BIG TROUT LAKE,1146,6,2011
1042,GERALDTON,157,2,2011
1043,FORT SEVERN,313,2,2011
1044,FORT GOOD HOPE,625,3,2011
1045,KASABONIKA,833,5,2011
1046,ABBOTSFORD,2404,3,2011
1047,FOND DU LAC,47,1,2011
1048,WOLLASTON LAKE,26,1,2011
1049,URANIUM CITY,26,1,2011
1050,MOOSONEE,1132,3,2006
1051,LA GRANDE,778,3,2015
1052,FORT MCMURRAY,8870,17,2014
1053,NAIN,703,4,2012
1054,LANDSDOWNE HOUSE,989,4,2011
1055,YARMOUTH,1040,2,2011
1056,CHURCHILL FALLS,312,2,2011
1057,LESTER B. PEARSON,184538,396,2009
1058,BONAVENTURE,516,2,2011
1059,ALMA,310,2,2011
1060,HAVRE ST-PIERRE,362,1,2011
1061,LAKE HARBOUR,206,1,2017
1062,ST HUBERT,1496,5,2011
1063,FORT SMITH,1230,4,2011
1064,FORT CHIPEWYAN,312,2,2011
1065,KANGIQSUALUJJUAQ,626,2,2013
1066,BELLA BELLA,773,3,2011
1067,BELLA COOLA,427,2,2011
1068,SAULT STE-MARIE,4203,5,2016
1069,FORT FRANKLIN,833,2,2011
1070,DRYDEN,1173,5,2017
1071,CARTWRIGHT,16,2,2011
1072,MARY'S HARBOUR,238,3,2011
1073,BAGOTVILLE,1910,7,2013
1074,REGINA,11090,47,2013
1075,CRANBROOK,2720,5,2009
1076,CHURCHILL FALLS,277,2,2012
1077,MAKKOVIK,484,2,2011
1078,ST ANTHONY,877,5,2011
1079,YELLOWKNIFE,9281,32,2010
1080,PORT HARDY,1280,3,2011
1081,GRISE FIORD,105,1,2011
1082,PORT MENIER,65,1,2012
1083,SANDSPIT,420,1,2011
1084,MONT JOLI,1136,4,2011
1085,PENTICTON,1046,1,2011
1086,SYDNEY,2148,5,2011
1087,BROUGHTON ISLAND,306,3,2016
1088,WINDSOR,3028,3,2011
1089,NAKINA,1044,2,2010
1090,ILES DE LA MADELE,1326,4,2011
1091,WHITEHORSE,1999,7,2008
1092,KINGSTON,2352,2,2011
1093,HAVRE ST-PIERRE,188,5,2017
1094,GASPE,1460,2,2011
1095,FREDERICTON,4305,5,2011
1096,CAMBRIDGE BAY,782,7,2018
1097,HAMILTON,2651,22,2014
1098,KAPUSKASING,1062,3,2012
1099,NANAIMO ARPT,2284,1,2011
1100,CAMPBELL RIVER,3893,6,2015
1101,BAIE COMEAU,705,3,2011
1102,MONT JOLI,1755,9,2018
1103,FORT SEVERN,313,2,2015
1104,REGINA,7678,19,2004
1105,EDMONTON INTL,46333,94,2013
1106,FORT NELSON,1059,3,2011
1107,WABUSH,3122,16,2017
1108,HOPEDALE,639,3,2006
1109,CARTWRIGHT,122,2,2016
1110,EDMONTON INTL,49173,104,2015
1111,SUDBURY,5531,8,2018
1112,SMITHERS,1341,5,2011
1113,CHEVERY,1672,6,2007
1114,TERRACE,2496,6,2011
1115,WILLIAMS LAKE,2178,3,2011
1116,CHARLOTTETOWN,2600,9,2004
1117,FORT ALBANY,618,2,2014
1118,ESKIMO POINT,1050,5,2014
1119,CHIBOUGAMAU,761,3,2004
1120,COMOX,5253,7,2011
1121,RAINBOW LAKE,301,2,2011
1122,OTTAWA INTL,37017,60,2007
1123,LETHBRIDGE,1701,3,2011
1124,LETHBRIDGE,1790,2,2012
1125,FORT MCMURRAY,1992,2,2004
1126,KAMLOOPS,3569,6,2011
1127,CAMPBELL RIVER,3566,5,2011
1128,CHARLOTTETOWN,3624,7,2011
1129,MONT JOLI,1459,8,2012
1130,WABUSH,2706,10,2007
1131,TALOYAK,616,8,2011
1132,PANGNIRTUNG,1243,4,2011
1133,DRYDEN,2000,4,2009
1134,NORMAN WELLS,2375,7,2011
1135,GILLAM,828,2,2009
1136,BROUGHTON ISLAND,524,3,2011
1137,FREDERICTON,4918,10,2018
1138,LAKE HARBOUR,207,1,2011
1139,FORT MCPHERSON,469,1,2013
1140,POND INLET,680,7,2011
1141,WHALE COVE,835,3,2006
1142,FORT SIMPSON,623,2,2011
1143,BIG TROUT LAKE,1102,10,2004
1144,KELOWNA,10196,16,2010
1145,LETHBRIDGE,2088,1,2016
1146,IGLOOLIK,919,8,2011
1147,CLYDE RIVER,1033,5,2011
1148,FORT GOOD HOPE,803,5,2017
1149,KASABONIKA,389,5,2017
1150,NAIN,654,4,2013
1151,CRANBROOK,3897,5,2018
1152,CAMBRIDGE BAY,1280,10,2011
1153,HAY RIVER,1074,3,2007
1154,SANDY LAKE,1094,5,2011
1155,PEAWANUCK,103,1,2011
1156,NEMISCAU,514,2,2011
1157,RED LAKE,3183,11,2007
1158,SARNIA,1186,1,2014
1159,WEMINDJI,676,2,2011
1160,WABUSH,5293,17,2014
1161,MOOSONEE,967,2,2011
1162,FORT ST JOHN,3333,7,2013
1163,ATTAWAPISKAT,411,2,2011
1164,FORT ALBANY,764,2,2004
1165,CORAL HARBOUR,842,4,2011
1166,FORT SIMPSON,783,3,2008
1167,DRYDEN,2029,6,2012
1168,SANDSPIT,431,1,2008
1169,WHALE COVE,777,5,2011
1170,REPULSE BAY,684,5,2011
1171,GILLAM,567,2,2011
1172,MONT TREMBLANT,248,4,2011
1173,KAPUSKASING,1112,1,2011
1174,PANGNIRTUNG,1399,6,2010
1175,LYNN LAKE,34,1,2011
1176,THUNDER BAY,10432,17,2018
1177,SIOUX LOOKOUT,7896,21,2011
1178,TIMMINS,4437,4,2011
1179,SUDBURY,7708,10,2011
1180,RED LAKE,3181,10,2016
1181,KITCHENER,2066,3,2011
1182,THE PAS,1523,4,2011
1183,SANDSPIT,703,4,2003
1184,DRYDEN,1955,8,2011
1185,CHIBOUGAMAU,618,3,2014
1186,CRANBROOK,1719,2,2006
1187,FLIN FLON,1523,5,2011
1188,FORT FRANCES,1221,2,2011
1189,JEAN LESAGE INTL,16027,31,2009
1190,GERALDTON,288,2,2013
1191,HAY RIVER,1399,4,2011
1192,FORT MCPHERSON,520,1,2011
1193,HOLMAN,310,2,2011
1194,PAULATUK,156,1,2011
1195,SYDNEY,2326,5,2013
1196,AKLAVIK,1032,2,2011
1197,SALLUIT,809,4,2011
1198,PICKLE LAKE,471,3,2013
1199,KUUJJUAQ,2655,9,2011
1200,GATINEAU,146,2,2017
1201,POWELL RIVER,1512,1,2008
1202,CLYDE RIVER,830,6,2009
1203,CHEVERY,1641,5,2014
1204,FORT HOPE,864,4,2013
1205,TASIUJUAQ,848,2,2011
1206,CAPE DORSET,874,5,2011
1207,VAL D'OR,2690,8,2015
1208,QUAQTAQ,726,2,2011
1209,AUPALUK,831,3,2011
1210,IVUJIVIK,748,2,2011
1211,CHEVERY,2281,8,2005
1212,TERRACE,2318,6,2009
1213,KUUJJUARAPIK,1219,5,2011
1214,LA GRANDE,1015,4,2011
1215,NAIN,515,4,2011
1216,KANGIQSUALUJJUAQ,565,2,2011
1217,AKULIVIK,748,2,2011
1218,ST JOHN'S,9913,24,2011
1219,VICTORIA,15710,15,2011
1220,VAL D'OR,2588,9,2016
1221,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,30271,67,2011
1222,NORWAY HOUSE,1868,4,2008
1223,THUNDER BAY,11015,21,2011
1224,BAGOTVILLE,1553,3,2011
1225,REGINA,10830,36,2011
1226,JEAN LESAGE INTL,17392,42,2011
1227,OTTAWA INTL,46273,88,2011
1228,KELOWNA,10457,18,2011
1229,OLD CROW,337,2,2017
1230,QUESNEL,922,1,2003
1231,DEER LAKE,4078,8,2011
1232,SACHS HARBOUR,156,2,2017
1233,SASKATOON,9673,18,2008
1234,LESTER B. PEARSON,192335,373,2011
1235,CALGARY INTL,81290,148,2011
1236,NORWAY HOUSE,513,1,2003
1237,SACHIGO LAKE,549,3,2010
1238,OXFORD HOUSE,1047,2,2003
1239,THE PAS,1483,5,2009
1240,DEER LAKE,522,2,2010
1241,PICKLE LAKE,494,2,2010
1242,TERRACE,2726,10,2016
1243,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,33480,119,2018
1244,SARNIA,1153,1,2010
1245,YARMOUTH,1044,2,2010
1246,INUKJUAK,1066,3,2017
1247,NAKINA,1035,2,2005
1248,ABBOTSFORD,2398,6,2010
1249,MASSET,294,1,2009
1250,TRENTON,2,1,2010
1251,CHURCHILL FALLS,205,2,2010
1252,STEPHENVILLE,306,2,2010
1253,ALMA,100,2,2010
1254,ST HUBERT,1200,6,2010
1255,BELLA BELLA,734,2,2010
1256,FORT NORMAN,1305,2,2010
1257,KASABONIKA,841,5,2010
1258,FORT GOOD HOPE,627,3,2010
1259,WHITEHORSE,1831,8,2014
1260,WEBEQUIE,1425,5,2010
1261,FORT NORMAN,1774,4,2015
1262,GODS NARROWS,1237,8,2018
1263,FORT HOPE,2668,6,2010
1264,NATASHQUAN,783,3,2010
1265,CAMBRIDGE BAY,975,11,2007
1266,MARY'S HARBOUR,304,2,2010
1267,INUVIK,3128,13,2008
1268,MAKKOVIK,490,2,2010
1269,CHEVERY,1674,5,2010
1270,PENTICTON,1710,2,2018
1271,HOPEDALE,490,2,2010
1272,PORT HARDY,1275,3,2010
1273,GILLIES BAY,741,1,2010
1274,FORT FRANCES,1210,2,2010
1275,ATTAWAPISKAT,414,2,2013
1276,CARTWRIGHT,270,3,2005
1277,BATHURST,645,1,2010
1278,SANDSPIT,448,2,2010
1279,KUUJJUAQ,2860,12,2014
1280,GOOSE BAY,3530,12,2010
1281,DAWSON CREEK,251,2,2018
1282,ST JOHN,3745,5,2010
1283,SYDNEY,2150,6,2010
1284,CAMPBELL RIVER,4265,7,2006
1285,KINGSTON,2462,2,2010
1286,FREDERICTON,4191,7,2010
1287,CASTLEGAR,1438,4,2010
1288,AUPALUK,829,3,2009
1289,HOPEDALE,1050,5,2014
1290,FORT NELSON,825,3,2010
1291,SMITHERS,1320,5,2010
1292,MEDICINE HAT,1299,1,2010
1293,WHITEHORSE,2751,10,2012
1294,WEBEQUIE,2076,10,2008
1295,COMOX,5408,8,2010
1296,SUDBURY,5936,9,2003
1297,RAINBOW LAKE,303,2,2010
1298,GJOA HAVEN,632,8,2016
1299,HIGH LEVEL,610,2,2010
1300,CAMPBELL RIVER,3513,5,2010
1301,FORT NORMAN,1302,2,2011
1302,ST ANTHONY,1823,7,2004
1303,TALOYAK,599,6,2010
1304,MARY'S HARBOUR,122,2,2016
1305,LAKE HARBOUR,208,1,2010
1306,CHARLO,72,2,2012
1307,MONT JOLI,746,4,2006
1308,NANISIVIK,461,3,2010
1309,MONT TREMBLANT,127,4,2007
1310,RESOLUTE,409,5,2010
1311,QUAQTAQ,726,2,2017
1312,POWELL RIVER,1460,1,2011
1313,FORT GOOD HOPE,677,5,2009
1314,KASABONIKA,1150,7,2009
1315,CARTWRIGHT,262,2,2007
1316,POND INLET,753,8,2010
1317,YELLOWKNIFE,9130,34,2014
1318,GJOA HAVEN,983,7,2010
1319,OTTAWA INTL,41565,73,2008
1320,CAMBRIDGE BAY,1236,10,2010
1321,STE THERESE POINT,65923,140,2015
1322,KUGAARUK,467,6,2010
1323,KUGAARUK,675,5,2004
1324,SALLUIT,733,3,2015
1325,NEMISCAU,516,2,2010
1326,SCHEFFERVILLE,895,4,2009
1327,CHIBOUGAMAU,516,2,2010
1328,MOOSONEE,1089,3,2010
1329,TADOULE LAKE,688,4,2008
1330,CALGARY INTL,64183,122,2004
1331,CAMPBELL RIVER,3647,9,2003
1332,WASKAGANISH,1250,5,2010
1333,MONCTON,6843,23,2006
1334,SACHS HARBOUR,105,1,2004
1335,POND INLET,701,7,2014
1336,ATTAWAPISKAT,411,2,2010
1337,SAULT STE-MARIE,5903,8,2012
1338,LAKE HARBOUR,206,1,2014
1339,MIRABEL,261,1,2010
1340,KAPUSKASING,1403,1,2008
1341,INUKJUAK,1088,3,2014
1342,HAMILTON,3321,14,2010
1343,WHALE COVE,836,4,2010
1344,POVUNGNITUK,61143,163,2003
1345,CHESTERFIELD INLE,496,4,2010
1346,THOMPSON,2113,5,2010
1347,GILLAM,568,2,2010
1348,ESKIMO POINT,922,4,2010
1349,PRINCE ALBERT,120,3,2011
1350,SOUTH INDIAN LAKE,128,1,2010
1351,PIKANGIKUM,1036,6,2003
1352,SACHS HARBOUR,156,2,2014
1353,BELLA BELLA,758,2,2003
1354,CHESTERFIELD INLE,1181,5,2012
1355,THOMPSON,1879,3,2012
1356,SASKATOON,9039,23,2005
1357,ABBOTSFORD,3280,6,2006
1358,LA GRANDE,870,4,2012
1359,LYNN LAKE,37,2,2010
1360,EDMONTON INTL,34133,71,2003
1361,FORT HOPE,1758,3,2006
1362,TIMMINS,4519,4,2010
1363,KANGIQSUALUJJUAQ,629,2,2014
1364,HOPEDALE,484,2,2011
1365,THE PAS,1452,5,2010
1366,LAKE HARBOUR,205,1,2013
1367,SAULT STE-MARIE,4555,3,2010
1368,EASTMAIN,622,2,2008
1369,FORT MCPHERSON,522,1,2010
1370,GILLIES BAY,1716,4,2016
1371,INUVIK,4253,15,2010
1372,POVUNGNITUK,54084,147,2004
1373,SALLUIT,883,4,2010
1374,ESKIMO POINT,822,3,2009
1375,SANIKILUAQ,248,2,2010
1376,VAL D'OR,2614,8,2014
1377,POVUNGNITUK,60749,126,2010
1378,MEDICINE HAT,1308,1,2013
1379,AUPALUK,833,3,2010
1380,SCHEFFERVILLE,901,4,2010
1381,LANDSDOWNE HOUSE,389,4,2016
1382,AKULIVIK,752,2,2010
1383,EDMONTON INTL,45685,87,2007
1384,GRANDE PRAIRIE,3431,4,2009
1385,KAMLOOPS,3234,9,2003
1386,BERENS RIVER,48,1,2009
1387,HOLMAN,260,2,2008
1388,VICTORIA,15470,15,2010
1389,HALL BEACH,713,5,2014
1390,SUDBURY,8113,6,2005
1391,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,30152,70,2010
1392,JEAN LESAGE INTL,16652,38,2010
1393,MAKKOVIK,1068,5,2014
1394,INUVIK,3258,13,2012
1395,DEER LAKE,4360,10,2010
1396,FORT NELSON,856,2,2007
1397,PRINCE GEORGE,6287,16,2015
1398,LESTER B. PEARSON,189365,383,2010
1399,PRINCE ALBERT,2167,4,2005
1400,UMIUJAQ,598,2,2009
1401,SASKATOON,11519,37,2010
1402,KUUJJUAQ,2262,8,2006
1403,"ROUND LAKE, OT",861,5,2009
1404,POVUNGNITUK,60830,133,2013
1405,GILLIES BAY,994,1,2008
1406,SACHIGO LAKE,730,3,2009
1407,HALL BEACH,579,6,2009
1408,AKULIVIK,726,2,2014
1409,PIKANGIKUM,1351,6,2009
1410,STEPHENVILLE,321,3,2011
1411,PICKLE LAKE,737,7,2009
1412,WEMINDJI,379,3,2018
1413,MUSKRAT DAM,852,3,2009
1414,DEER LAKE,5665,15,2017
1415,CHARLOTTETOWN,2747,8,2006
1416,STEPHENVILLE,347,3,2009
1417,HOLMAN,312,2,2010
1418,MASSET,238,1,2006
1419,BONAVENTURE,543,2,2009
1420,BAIE COMEAU,599,2,2003
1421,SHERBROOKE,22,1,2009
1422,ST JOHN,2277,6,2015
1423,MASSET,310,1,2003
1424,GATINEAU,42,1,2009
1425,ST HUBERT,869,4,2009
1426,VANCOUVER INTL,112509,196,2014
1427,KELOWNA,10163,19,2005
1428,COLD LAKE,145,2,2009
1429,BELLA BELLA,905,2,2009
1430,POWELL RIVER,1473,1,2009
1431,IGLOOLIK,519,5,2006
1432,SACHIGO LAKE,829,7,2008
1433,YELLOWKNIFE,7919,24,2005
1434,GODS RIVER,110,4,2009
1435,BROUGHTON ISLAND,518,3,2013
1436,CROSS LAKE,75,1,2009
1437,BROCHET,27,2,2009
1438,WHALE COVE,530,3,2005
1439,TOFINO,365,1,2005
1440,BRANDON,22,1,2009
1441,OXFORD HOUSE,1322,4,2017
1442,YORK LANDING,374,1,2003
1443,FORT NORMAN,1304,2,2009
1444,POWELL RIVER,1443,2,2004
1445,WEBEQUIE,1939,9,2009
1446,MONCTON,6845,19,2007
1447,SACHS HARBOUR,113,1,2005
1448,INUKJUAK,928,4,2006
1449,OXFORD HOUSE,1243,2,2004
1450,FORT HOPE,3172,6,2009
1451,TIMMINS,4727,7,2015
1452,POND INLET,998,7,2018
1453,NORMAN WELLS,1805,8,2017
1454,CARTWRIGHT,312,2,2009
1455,ABBOTSFORD,3247,7,2017
1456,OTTAWA INTL,39497,110,2014
1457,KUUJJUAQ,2693,8,2010
1458,NATASHQUAN,896,4,2009
1459,FLIN FLON,1531,6,2006
1460,MAKKOVIK,562,2,2009
1461,CASTLEGAR,1306,2,2011
1462,BONAVENTURE,512,2,2010
1463,LAKE HARBOUR,103,1,2003
