,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport
767,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
768,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
769,49.1055984,-81.0136031,Cochrane (Canada),ON,2012-09-04T22:00:00.000Z,2012,9,Iroquois Falls Airport,48.74172000000001,-80.793052
770,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
771,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
772,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
773,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
774,49.1994786,-84.78911640000001,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6,Granitehill Lake Waterdrome,49.098705,-85.200293
775,48.4902991,-81.3342007,Lavigne (Canada),ON,1979-06-15T21:30:00.000Z,1979,6,Iroquois Falls Airport,48.74172000000001,-80.793052
776,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
777,44.7185477,-76.92295809999999,Arden (Canada),ON,2013-08-31T22:00:00.000Z,2013,8,Tomvale Airport,44.9170181,-76.93607659999999
778,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
779,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
780,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
781,45.6141919,-80.54552609999999,Bayfield Inlet (Canada),ON,2007-09-16T04:00:00.000Z,2007,9,Deep Bay Waterdrome,45.39805589999999,-80.18166699999999
782,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
783,44.78423505,-79.23067119272821,Black River (Canada),ON,1997-03-12T21:00:00.000Z,1997,3,Matchedash Lake Waterdrome,44.788925,-79.500198
784,49.778224,-86.5396059,Longlac (Canada),ON,2007-06-17T01:00:00.000Z,2007,6,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
785,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
786,49.1994786,-84.78911640000001,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6,Granitehill Lake Waterdrome,49.098705,-85.200293
787,45.438047499999996,-76.35940140000001,Arnprior (Canada),ON,2016-06-17T21:00:00.000Z,2016,6,South Renfrew Muni Waterdrome,45.406832,-76.3597229
788,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
789,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
790,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
791,46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6,Greater Sudbury Airport,46.6228445,-80.7956531
792,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
793,48.716220299999996,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.7591113,-86.3489556
794,48.716220299999996,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.7591113,-86.3489556
795,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
796,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
797,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
798,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
799,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
800,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
801,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
802,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
803,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
804,48.7738991,-91.6386031,Atikokan (Canada),ON,2010-09-28T22:00:00.000Z,2010,9,Atikokan Airport,48.77129629999999,-91.6373615
805,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
806,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
807,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
808,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
809,49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10,,,
810,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
811,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
812,47.820932299999996,-83.35498570000001,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9,Five Mile Lake Waterdrome,47.55809600000001,-83.221454
813,47.3940148,-79.6870887,Cobalt (Canada),ON,2001-08-14T23:30:00.000Z,2001,8,Earlton-Timiskaming Airport,47.6975411,-79.84918259999999
814,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
815,45.8023305,-81.72359770000001,Wikwemikong (Canada),ON,2008-05-15T15:00:00.000Z,2008,5,Little Current Waterdrome,45.98388899999999,-81.95861099999999
816,46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5,Elliot Lake Airport,46.351387,-82.561386
817,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
818,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
